iter	Passed	Remaining
0	1	136
1	1	94
2	2	78
3	3	80
4	3	72
5	4	74
6	5	69
7	5	64
8	6	67
9	7	63
10	7	60
11	8	62
12	9	65
13	10	65
14	11	63
15	13	71
16	14	71
17	15	71
18	16	71
19	17	68
20	17	66
21	18	64
22	18	61
23	18	59
24	19	57
25	19	56
26	20	55
27	21	56
28	23	56
29	24	56
30	24	55
31	25	53
32	26	53
33	28	56
34	29	54
35	30	53
36	31	53
37	31	51
38	31	50
39	32	48
40	32	47
41	33	45
42	33	44
43	33	43
44	34	42
45	35	41
46	36	41
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	43	38
53	44	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	30
62	51	30
63	52	29
64	52	28
65	52	27
66	53	26
67	53	25
68	54	24
69	54	23
70	55	22
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
